Player1,Player2,Matches
CJ Jordan,Mohammad Sami,0.037037037037037035
Mohammad Sami,CJ Jordan,0.027777777777777776
CJ Jordan,SR Watson,0.037037037037037035
SR Watson,CJ Jordan,0.021739130434782608
DJ Malan,Amad Butt,0.05
Amad Butt,DJ Malan,0.045454545454545456
DJ Malan,Imran Khalid,0.05
Imran Khalid,DJ Malan,0.08333333333333333
DJ Malan,Mohammad Irfan,0.05
Mohammad Irfan,DJ Malan,0.019230769230769232
DJ Malan,Mohammad Sami,0.05
Mohammad Sami,DJ Malan,0.027777777777777776
DJ Malan,SR Watson,0.1
SR Watson,DJ Malan,0.06521739130434782
DJ Malan,Saeed Ajmal,0.1
Saeed Ajmal,DJ Malan,0.3
DJG Sammy,Mohammad Irfan,0.061224489795918366
Mohammad Irfan,DJG Sammy,0.07692307692307693
DJG Sammy,Mohammad Sami,0.04081632653061224
Mohammad Sami,DJG Sammy,0.08333333333333333
EJG Morgan,SR Watson,0.2222222222222222
SR Watson,EJG Morgan,0.06521739130434782
EJG Morgan,Saeed Ajmal,0.1111111111111111
Saeed Ajmal,EJG Morgan,0.1
Haris Sohail,Amad Butt,0.09090909090909091
Amad Butt,Haris Sohail,0.045454545454545456
Haris Sohail,Mohammad Irfan,0.18181818181818182
Mohammad Irfan,Haris Sohail,0.057692307692307696
Haris Sohail,Mohammad Sami,0.18181818181818182
Mohammad Sami,Haris Sohail,0.08333333333333333
Haris Sohail,SR Watson,0.09090909090909091
SR Watson,Haris Sohail,0.021739130434782608
Haris Sohail,Saeed Ajmal,0.09090909090909091
Saeed Ajmal,Haris Sohail,0.1
Hasan Ali,SR Watson,0.0625
SR Watson,Hasan Ali,0.06521739130434782
Iftikhar Ahmed,Mohammad Sami,0.041666666666666664
Mohammad Sami,Iftikhar Ahmed,0.08333333333333333
Kamran Akmal,Amad Butt,0.013333333333333334
Amad Butt,Kamran Akmal,0.045454545454545456
Kamran Akmal,Imran Khalid,0.013333333333333334
Imran Khalid,Kamran Akmal,0.08333333333333333
Kamran Akmal,Mohammad Irfan,0.04
Mohammad Irfan,Kamran Akmal,0.07692307692307693
Kamran Akmal,Mohammad Sami,0.06666666666666667
Mohammad Sami,Kamran Akmal,0.16666666666666666
Kamran Akmal,SR Watson,0.013333333333333334
SR Watson,Kamran Akmal,0.021739130434782608
Kamran Akmal,Saeed Ajmal,0.02666666666666667
Saeed Ajmal,Kamran Akmal,0.3
Mohammad Hafeez,Mohammad Irfan,0.056338028169014086
Mohammad Irfan,Mohammad Hafeez,0.09615384615384616
Shahid Afridi,Mohammad Irfan,0.018867924528301886
Mohammad Irfan,Shahid Afridi,0.019230769230769232
Shahid Afridi,SR Watson,0.11320754716981132
SR Watson,Shahid Afridi,0.15217391304347827
Ahmed Shehzad,Mohammad Irfan (4),0.022727272727272728
Mohammad Irfan (4),Ahmed Shehzad,0.05
Ahmed Shehzad,Sohail Tanvir,0.022727272727272728
Sohail Tanvir,Ahmed Shehzad,0.016666666666666666
