Name,Skill,Team,Mats,Runs
Fakhar Zaman,LHB,Lahore Qalandars,13,588
Mohammad Rizwan,RHB,Multan Sultans,12,546
Shan Masood,LHB,Multan Sultans,12,478
Shoaib Malik,RHB,Peshawar Zalmi,11,401
Alex Hales,RHB,Islamabad United,9,355
Babar Azam,RHB,Karachi Kings,10,343
Mohammad Hafeez,RHB,Lahore Qalandars,13,323
Jason Roy,RHB,Quetta Gladiators,6,303
Kamran Ghulam,RHB,Lahore Qalandars,13,299
Azam Khan,RHB,Islamabad United,12,296
Tim David,RHB,Multan Sultans,11,278
Rilee Rossouw,LHB,,11,275
Shadab Khan,RHB,Islamabad United,9,268
Harry Brook,RHB,Lahore Qalandars,10,264
Abdullah Shafique,RHB,Lahore Qalandars,11,251
Ahsan Ali,RHB,Quetta Gladiators,8,250
Will Smeed,RHB,Quetta Gladiators,6,240
Sharjeel Khan,LHB,Karachi Kings,10,231
Paul Stirling,RHB,Islamabad United,6,200
Ben Cutting,RHB,Peshawar Zalmi,9,197
Hussain Talat,LHB,Peshawar Zalmi,9,177
Joe Clarke,RHB,Karachi Kings,8,174
Hazratullah Zazai,LHB,Peshawar Zalmi,7,170
David Wiese,RHB,Lahore Qalandars,13,168
Mohammad Haris,RHB,Peshawar Zalmi,5,166
Colin Munro,LHB,Islamabad United,3,165
Sherfane Rutherford,LHB,Peshawar Zalmi,9,160
Khushdil Shah,LHB,Multan Sultans,12,153
Sarfaraz Ahmed,RHB,Quetta Gladiators,10,152
Kamran Akmal,RHB,Peshawar Zalmi,6,152
Haider Ali,RHB,Peshawar Zalmi,9,152
Imad Wasim,LHB,Karachi Kings,9,141
Rahmanullah Gurbaz,RHB,Islamabad United,6,139
Sohaib Maqsood,RHB,Multan Sultans,7,139
Asif Ali,RHB,,12,137
Iftikhar Ahmed,RHB,Quetta Gladiators,10,134
Mohammad Nabi,RHB,Karachi Kings,9,129
Faheem Ashraf,LHB,Islamabad United,10,121
James Vince,RHB,Quetta Gladiators,6,107
Liam Dawson,RHB,Islamabad United,7,107
Qasim Akram,RHB,Karachi Kings,5,99
Yasir Khan,RHB,Peshawar Zalmi,4,87
Umar Akmal,RHB,Quetta Gladiators,5,82
Mohammad Nawaz,LHB,Quetta Gladiators,5,78
Lewis Gregory,RHB,Karachi Kings,7,72
James Faulkner,RHB,,6,71
Phil Salt,RHB,Lahore Qalandars,9,63
Ben Duckett,LHB,Quetta Gladiators,4,60
Samit Patel,RHB,Lahore Qalandars,5,58
Aamer Yamin,RHB,Karachi Kings,5,56
Rashid Khan,RHB,Lahore Qalandars,9,55
Sahibzada Farhan,RHB,Karachi Kings,5,51
Rohail Nazir,RHB,Karachi Kings,3,47
Ian Cockbain,RHB,Karachi Kings,3,47
Shaheen Shah Afridi,LHB,Lahore Qalandars,13,44
Aamer Azmat,RHB,Multan Sultans,5,43
Liam Livingstone,RHB,Peshawar Zalmi,4,39
Danish Aziz,LHB,Islamabad United,3,36
Mubasir Khan,RHB,Islamabad United,7,36
Sohail Akhtar,RHB,Lahore Qalandars,2,34
Mohammad Wasim Jnr,RHB,,8,32
Musa Khan,RHB,Islamabad United,2,32
David Willey,LHB,,8,28
Sohail Tanvir,LHB,Quetta Gladiators,7,27
Usman Qadir,LHB,Peshawar Zalmi,7,25
Tom Kohler-Cadmore,RHB,Peshawar Zalmi,2,22
Noor Ahmad,LHB,,4,21
Hasan Ali,RHB,,9,21
Hassan Khan,LHB,Quetta Gladiators,2,20
Khalid Usman,RHB,Peshawar Zalmi,2,19
Usman Khan Shinwari,RHB,Karachi Kings,3,15
Abdul Wahid Bangalzai,RHB,Quetta Gladiators,1,14
Nasir Nawaz,RHB,Islamabad United,1,14
Imran Tahir,RHB,,12,13
Umaid Asif,RHB,,8,12
Will Jacks,RHB,Islamabad United,2,11
Saqib Mahmood,RHB,Peshawar Zalmi,2,11
Amad Butt,RHB,Peshawar Zalmi,2,10
Zafar Gohar,LHB,Islamabad United,1,9
Ben Dunk,LHB,Lahore Qalandars,2,9
Marchant de Lange,RHB,Islamabad United,5,9
Haris Rauf,RHB,,13,8
Naseem Shah,RHB,,10,8
Zeeshan Ashraf,LHB,Lahore Qalandars,2,7
Wahab Riaz,RHB,Peshawar Zalmi,10,7
Mohammad Ilyas,RHB,Karachi Kings,3,7
Shahnawaz Dahani,RHB,,11,6
Mohammad Taha,LHB,Karachi Kings,5,6
Chris Jordan,RHB,Karachi Kings,5,6
Mohammad Abbas Afridi,RHB,Multan Sultans,5,6
Anwar Ali,RHB,Multan Sultans,4,6
Rumman Raees,RHB,,6,6
Tom Lammonby,LHB,Karachi Kings,3,4
Shahid Afridi,RHB,,3,4
Salman Irshad,RHB,,8,3
Zahid Mehmood,RHB,,2,3
Muhammad Umar,RHB,Peshawar Zalmi,6,3
Benny Howell,RHB,Peshawar Zalmi,1,2
Muhammad Akhlaq,RHB,Islamabad United,2,2
Mohammad Huraira,RHB,Islamabad United,1,2
Asif Afridi,LHB,,5,1
Mir Hamza,LHB,,4,1
Zaman Khan,RHB,,13,1
Waqas Maqsood,LHB,,8,1
Ashir Qureshi,RHB,,4,0
