Name,Skill,Team,Mats,Wkts
Faheem Ashraf,RAMF,Islamabad United,12,18
Wahab Riaz,LAFM,Peshawar Zalmi,13,18
Usman Khan Shinwari,LAFM,Karachi Kings,10,16
Rahat Ali,LAFM,Quetta Gladiators,11,15
Samit Patel,SLAO,Islamabad United,9,13
Shahid Afridi,RALB,Karachi Kings,9,13
Imran Tahir,RALB,Multan Sultans,10,13
Mohammad Sami,RAMF,Islamabad United,11,13
Umaid Asif,RAMF,Peshawar Zalmi,12,13
Hasan Ali,RAMF,Peshawar Zalmi,9,12
Muhammad Irfan Jnr,RAMF,Karachi Kings,11,12
Yasir Shah,RALB,Lahore Qalandars,10,11
Shane Watson,RAMF,Quetta Gladiators,10,11
Sunil Narine,RAOB,Lahore Qalandars,9,10
Mohammad Irfan Snr,LAFM,Multan Sultans,10,10
Tymal Mills,LAFM,Karachi Kings,8,9
Mohammad Aamer,LAFM,Karachi Kings,11,9
Shadab Khan,RALB,Islamabad United,12,9
Umar Gul,RAMF,Multan Sultans,2,8
Sohail Khan,RAMF,Lahore Qalandars,7,8
Liam Dawson,SLAO,Peshawar Zalmi,9,8
Junaid Khan,LAFM,Multan Sultans,8,7
Mohammad Nawaz,LAO,Quetta Gladiators,11,7
Shaheen Shah Afridi,LAMF,Lahore Qalandars,7,7
Anwar Ali,RAMF,Quetta Gladiators,11,7
Sohail Tanvir,LAMF,Multan Sultans,10,7
Hassan Khan,LAO,Quetta Gladiators,11,6
Sameen Gul,RAMF,Peshawar Zalmi,8,6
Jofra Archer,RAFM,Quetta Gladiators,2,5
Ibtisam Sheikh,RALB,Peshawar Zalmi,4,5
Amad Butt,RAFM,Islamabad United,5,5
Kieron Pollard,RAMF,,10,5
Steven Finn,RAFM,Islamabad United,5,5
Chris Jordan,RAFM,Peshawar Zalmi,5,5
Imad Wasim,LAO,Karachi Kings,8,5
Rumman Raees,LAMF,Islamabad United,3,4
Andre Russell,RAFM,Islamabad United,4,4
Ravi Bopara,RAMF,Karachi Kings,10,4
Mustafizur Rahman,LAMF,Lahore Qalandars,5,4
Hussain Talat,RAMF,,12,4
Zafar Gohar,LAO,Islamabad United,2,3
Hardus Viljoen,RAFM,Multan Sultans,2,3
Ben Laughlin,RAFM,Quetta Gladiators,3,3
Shoaib Malik,RAOB,,10,3
Mir Hamza,LAMF,Quetta Gladiators,3,3
Thisara Perera,RAMF,Quetta Gladiators,1,2
Darren Sammy,RAMF,,11,2
John Hastings,RAFM,Quetta Gladiators,3,2
Mohammad Asghar,LAO,Peshawar Zalmi,5,2
Mitchell McClenaghan,LAMF,Lahore Qalandars,4,2
Saif Badar,RALB,,10,1
Imran Khan Jnr,LAMF,Lahore Qalandars,1,1
Kyle Abbott,RAMF,Lahore Qalandars,1,1
Mahmudullah,RAOB,Quetta Gladiators,3,1
Khalid Usman,SLAO,Peshawar Zalmi,2,1
Fakhar Zaman,LAO,Lahore Qalandars,10,1
Salman Irshad,RAFM,Lahore Qalandars,3,1
Jean-Paul Duminy,RAOB,Islamabad United,10,1
Aamer Yamin,RAMF,Lahore Qalandars,2,0
Anton Devcich,SLAO,,5,0
Salman Ali Agha,RAOB,,8,0
Hammad Azam,RAMF,,2,0
David Wiese,RAFM,Karachi Kings,1,0
Ross Whiteley,LAMF,,3,0
Colin Ingram,RALB,,12,0
Usama Mir,RALB,Karachi Kings,2,0
Joe Denly,RALB,,12,0
Bilal Asif,RAOB,Lahore Qalandars,1,0
Raza Hasan,LAO,Lahore Qalandars,2,0
Sarfaraz Ahmed,,,11,0
Dwayne Smith,RAMF,,10,0
Danish Aziz,LAO,Karachi Kings,1,0
Umar Akmal,RAOB,,5,
Misbah ul Haq,,,8,
Rameez Raja jr,RAOB,,5,
Kamran Akmal,,,13,
Haris Sohail,LAO,,3,
Riki Wessels,,,4,
Mohammad Hafeez,RAOB,,13,
Sohaib Maqsood,RAOB,,10,
Alex Hales,RAMF,,4,
Kumar Sangakkara,,,10,
Chadwick Walton,,,5,
Khurram Manzoor,RAOB,,7,
Umar Amin,RAMF,,6,
Jason Roy,,,2,
Andre Fletcher,RAMF,,5,
Asif Ali,RAOB,,12,
Cameron Delport,RAMF,,2,
Denesh Ramdin,,,4,
Rilee Rossouw,RAOB,,10,
Eoin Morgan,,,3,
Iftikhar Ahmed,RAOB,,1,
Ahmed Shehzad,RALB,,10,
Lendl Simmons,,,2,
Darren Bravo,,,5,
Kevin Pietersen,RAOB,,9,
Gulraiz Sadaf,,,5,
Mukhtar Ahmed,RALB,,1,
Asad Shafiq,RALB,,8,
Luke Ronchi,,,11,
Brendon McCullum,,,10,
Mohammad Rizwan,,,12,
Tamim Iqbal,RAOB,,6,
Sabbir Rahman,RALB,,2,
Sahibzada Farhan,,,6,
Tom Kohler-Cadmore,RAOB,,1,
Saad Nasim,RALB,,5,
Sohail Akhtar,RAMF,,9,
Babar Azam,RAOB,,12,
Khushdil Shah,SLAO,,2,
