Player,Matches Played,Runs
Umar Akmal,37,915
Ravi Bopara,39,776
Sharjeel Khan,45,1086
Ahmed Shehzad,45,1077
Tamim Iqbal,20,605
Cameron Delport,39,873
Mohammad Hafeez,71,1595
Kevin Pietersen,27,611
Khalid Latif,9,206
Shane Watson,46,1361
Brad Haddin,17,327
Azhar Ali,7,183
Luke Wright,7,181
Sarfaraz Ahmed,72,1341
Misbah ul Haq,29,507
Dawid Malan,20,508
Shoaib Malik,72,1882
Dwayne Smith,28,701
Lendl Simmons,8,210
Kamran Akmal,75,1972
Darren Sammy,49,691
Kumar Sangakkara,24,613
Shakib Al Hasan,13,180
Mohammad Nawaz,66,619
Dwayne Bravo,14,134
James Vince,31,778
Chris Gayle,16,370
Mohammad Rizwan,59,1446
Shahid Yousuf,9,99
Brad Hodge,4,93
Shahid Afridi,53,469
Andre Russell,19,173
Sohaib Maqsood,43,970
Grant Elliott,13,139
Wahab Riaz,77,333
Nauman Anwar,5,55
Bismillah Khan,3,55
Mushfiqur Rahim,3,49
Imad Wasim,68,682
Mohammad Nabi,22,350
Shahzaib Hasan,4,64
James Allenby,2,38
Anwar Ali,40,228
Imran Khalid,12,39
Sam Billings,10,167
Asif Ali,67,1016
Sohail Tanvir,61,321
Naved Yasin,5,27
Iftikhar Ahmed,48,584
Mohammad Sami,36,39
Zulfiqar Babar,18,23
Sohail Khan,41,137
Saeed Ajmal,10,20
Hammad Azam,12,94
Zohaib Khan,8,18
Asad Shafiq,17,280
Ryan ten Doeschate,2,18
Bilawal Bhatti,8,18
Babar Azam,68,2413
Jonny Bairstow,1,15
Akbar-ur-Rehman,7,15
Azhar Mahmood,2,14
Usama Mir,20,28
Elton Chigumbura,5,10
Mohammad Aamer,59,61
Kevon Cooper,7,10
Kamran Ghulam,15,308
Ashar Zaidi,3,8
Hasan Ali,64,191
Rumman Raees,38,25
Umar Amin,21,332
Riki Wessels,8,96
Samuel Badree,7,2
Junaid Khan,27,6
Mohammad Asghar,21,1
Zafar Gohar,17,40
Nathan McCullum,2,1
Umar Gul,10,12
Mir Hamza,12,1
Shaun Tait,9,0
Mohammad Irfan Snr,53,12
Aizaz Cheema,5,0
Saifullah Bangash,5,0
Abdur Rehman,1,0
Adnan Rasool,3,0
Aamer Yamin,27,122
Ajantha Mendis,4,0
Ehsan Adil,5,0
Zia-ul-Haq,3,0
Imran Khan Jnr,3,0
Rilee Rossouw,63,1414
Kieron Pollard,33,650
Fakhar Zaman,63,1939
Jason Roy,21,762
Eoin Morgan,9,164
Sunil Narine,17,214
Brendon McCullum,18,311
Marlon Samuels,5,81
Hussain Talat,49,796
Shadab Khan,61,800
Rafatullah Mohmand,3,46
Thisara Perera,10,89
Mahmudullah,9,71
Haris Sohail,11,153
Ben Duckett,6,90
Chris Jordan,27,97
Hassan Khan,28,137
Amad Butt,22,127
Sean Ervine,1,24
Yasir Shah,27,45
Saad Nasim,8,83
Mahela Jayawardene,1,10
Rayad Emrit,1,6
Muhammad Irfan Jnr,21,21
Anamul Haque,1,3
Khushdil Shah,38,554
Nicholas Pooran,1,1
Tymal Mills,22,10
Ghulam Mudassar,11,1
Morne van Wyk,1,1
Usman Khan Shinwari,39,54
Kashif Bhatti,1,0
Abrar Ahmed,4,0
Luke Ronchi,31,1020
Joe Denly,14,354
Jean-Paul Duminy,10,251
Colin Ingram,37,818
Anton Devcich,10,279
Salman Ali Agha,15,219
Liam Dawson,31,470
Sohail Akhtar,44,808
Khurram Manzoor,8,184
Faheem Ashraf,49,488
Gulraiz Sadaf,5,110
Sahibzada Farhan,14,191
Alex Hales,28,895
Andre Fletcher,9,158
Chadwick Walton,27,451
Samit Patel,37,455
Rameez Raja jr,5,40
Umaid Asif,44,140
Ross Whiteley,3,27
Denesh Ramdin,4,24
Saif Badar,10,21
Darren Bravo,5,15
Imran Tahir,39,48
Sabbir Rahman,2,11
Salman Irshad,16,14
Khalid Usman,5,43
Tom Kohler-Cadmore,7,140
John Hastings,3,5
Jofra Archer,2,5
David Wiese,36,484
Mitchell McClenaghan,5,4
Raza Hasan,2,4
Ben Laughlin,3,3
Sameen Gul,19,10
Hardus Viljoen,5,48
Ibtisam Sheikh,8,2
Mustafizur Rahman,5,1
Shaheen Shah Afridi,50,88
Mukhtar Ahmed,1,1
Rahat Ali,28,3
Steven Finn,5,0
Danish Aziz,8,111
Kyle Abbott,1,0
Bilal Asif,1,0
Imam-ul-Haq,22,542
Liam Livingstone,23,468
AB de Villiers,7,218
Johnson Charles,14,325
Ahsan Ali,19,444
Umar Siddiq,7,169
Ben Dunk,30,596
Shan Masood,34,1082
Daniel Christian,13,152
Colin Munro,26,793
Phil Salt,19,204
Laurie Evans,5,83
Ian Bell,1,54
Wayne Parnell,4,47
Corey Anderson,3,41
Rizwan Hussain,9,82
Gohar Ali,3,30
Chris Green,5,27
Sikandar Raza,3,23
Umair Masood,1,22
Awais Zia,2,22
Salman Butt,3,43
Brendan Taylor,4,17
Haris Rauf,40,58
Azam Khan,32,632
Asela Gunaratne,1,12
Sandeep Lamichhane,7,11
Tom Moores,3,10
Musa Khan,19,59
Nabi Gul,2,9
Syed Saad Ali,1,8
Mohammad Ilyas,25,39
Carlos Brathwaite,10,69
Wayne Madsen,2,5
Nauman Ali,4,5
Mohammad Irfan Khan,2,4
Nasir Nawaz,2,17
Mohammad Abbas,3,1
Fawad Ahmed,23,21
Umer Khan,17,3
Mohammad Hasnain,28,8
Harry Gurney,1,0
Ali Shafique,4,0
Shakeel Ansar,1,0
Waqas Maqsood,20,21
Aaron Summers,2,0
Chris Lynn,12,318
Haider Ali,28,557
Zeeshan Ashraf,16,226
Ben Cutting,21,392
Moeen Ali,9,138
Tom Banton,9,83
Lewis Gregory,13,189
Adam Lyth,2,59
Rohail Nazir,9,128
Faf du Plessis,5,107
Dane Vilas,5,24
Zahid Mehmood,9,27
Ahmed Safi Abdullah,3,9
Seekkuge Prasanna,2,8
Muhammad Imran,1,8
Dilbar Hussain,11,8
Mohammad Amir Khan,4,7
Adil Amin,1,7
Naseem Shah,19,16
Mohammad Faizan,9,23
Saqib Mahmood,8,13
Abdul Nasir,2,1
Sherfane Rutherford,24,437
Akif Javed,11,0
Mohammad Mohsin,2,0
Maaz Khan,3,0
Ali Khan,4,0
Raja Farzan Khan,2,0
Arshad Iqbal,17,0
Dale Steyn,7,0
Usman Qadir,12,29
Usman Khawaja,7,246
Hazratullah Zazai,12,382
Tim David,17,458
Usman Khan,6,150
Jake Weatherald,5,148
Joe Clarke,13,295
David Miller,3,116
Saim Ayub,7,114
Najibullah Zadran,5,111
James Faulkner,12,161
Rovman Powell,8,87
Rashid Khan,17,130
Brandon King,3,69
Martin Guptill,6,69
Jonathan Wells,2,61
Paul Stirling,8,257
Mohammad Wasim Jnr,19,77
Muhammad Akhlaq,7,46
Mohammad Abbas Afridi,9,33
Qais Ahmad,2,18
Jack Wildermuth,2,17
Zahir Khan,4,12
Khurram Shahzad,7,12
Qasim Akram,6,109
Ahmed Daniyal,10,10
Shimron Hetmyer,2,7
Fabian Allen,3,3
Rahmanullah Gurbaz,7,142
Imran Khan Snr,10,3
Mohammad Imran,14,1
Noor Ahmad,8,21
Shahnawaz Dahani,22,6
Mujeeb ur Rehman,4,0
Sohaibullah,1,0
Muhammad Umar,8,3
Blessing Muzarabani,10,0
Mohammad Salman Mirza,3,0
Arish Ali Khan,2,0
Zahoor Khan,1,0
Waqar Salamkheil,1,0
Harry Brook,10,264
Abdullah Shafique,11,251
Will Smeed,6,240
Mohammad Haris,5,166
Yasir Khan,4,87
Ian Cockbain,3,47
Aamer Azmat,5,43
Mubasir Khan,7,36
David Willey,8,28
Abdul Wahid Bangalzai,1,14
Will Jacks,2,11
Marchant de Lange,5,9
Mohammad Taha,5,6
Tom Lammonby,3,4
Benny Howell,1,2
Mohammad Huraira,1,2
Asif Afridi,5,1
Zaman Khan,13,1
Ashir Qureshi,4,0
Athar Mehmood,3,0
Syed Zeeshan Zameer,2,0
Jordan Thompson,2,0
Ali Majid,1,0
Ihsanullah,2,0
Pat Brown,2,0
Luke Wood,1,0
Dean Foxcroft,1,0
