Player,Matches Played,Wickets
Andre Russell,19,21
Wahab Riaz,77,103
Mohammad Nawaz,66,61
Mohammad Sami,36,42
Grant Elliott,13,15
Ravi Bopara,39,15
Mohammad Asghar,21,21
Shahid Afridi,53,47
Shaun Tait,9,10
Imran Khalid,12,10
Anwar Ali,40,25
Zulfiqar Babar,18,15
Zafar Gohar,17,18
Mohammad Irfan Snr,53,45
Mohammad Aamer,59,54
Ehsan Adil,5,7
Aizaz Cheema,5,6
Kevon Cooper,7,6
Saeed Ajmal,10,9
Junaid Khan,27,26
Usama Mir,20,18
Cameron Delport,39,10
Ajantha Mendis,4,4
Darren Sammy,49,9
Sohail Khan,41,39
Imad Wasim,68,42
Samuel Badree,7,4
Umar Gul,10,13
Rumman Raees,38,37
Mohammad Nabi,22,10
Dwayne Bravo,14,11
Zia-ul-Haq,3,3
Shakib Al Hasan,13,8
Zohaib Khan,8,3
Bilawal Bhatti,8,6
Hasan Ali,64,81
Sohail Tanvir,61,55
Nathan McCullum,2,1
Imran Khan Jnr,3,3
Aamer Yamin,27,17
Azhar Mahmood,2,1
Shoaib Malik,72,11
Shane Watson,46,23
Azhar Ali,7,0
Akbar-ur-Rehman,7,0
Iftikhar Ahmed,48,9
Ashar Zaidi,3,0
Abdur Rehman,1,0
Mir Hamza,12,12
Adnan Rasool,3,0
Dwayne Smith,28,0
Kamran Ghulam,15,1
Chris Gayle,16,0
Hammad Azam,12,0
Kumar Sangakkara,24,0
Sohaib Maqsood,43,0
Bismillah Khan,3,0
Sam Billings,10,0
Jonny Bairstow,1,0
Babar Azam,68,0
Asif Ali,67,2
Umar Akmal,37,0
Luke Wright,7,0
Riki Wessels,8,0
Misbah ul Haq,29,0
Brad Hodge,4,0
Mohammad Hafeez,71,18
Mohammad Rizwan,59,0
Kevin Pietersen,27,0
Ahmed Shehzad,45,0
James Vince,31,0
Tamim Iqbal,20,0
James Allenby,2,0
Shahzaib Hasan,4,0
Asad Shafiq,17,0
Elton Chigumbura,5,0
Brad Haddin,17,0
Mushfiqur Rahim,3,0
Nauman Anwar,5,0
Sharjeel Khan,45,0
Shahid Yousuf,9,0
Umar Amin,21,0
Saifullah Bangash,5,0
Sarfaraz Ahmed,72,0
Lendl Simmons,8,0
Ryan ten Doeschate,2,1
Kamran Akmal,75,0
Naved Yasin,5,0
Khalid Latif,9,0
Dawid Malan,20,0
Sunil Narine,17,20
Yasir Shah,27,26
Shadab Khan,61,65
Hassan Khan,28,16
Chris Jordan,27,34
Mahmudullah,9,8
Tymal Mills,22,28
Muhammad Irfan Jnr,21,22
Usman Khan Shinwari,39,42
Thisara Perera,10,11
Rayad Emrit,1,3
Fakhar Zaman,63,2
Rilee Rossouw,63,2
