Player Name,ID,2017,2018,2019,2020,2021,2022,2016
A Lyth,70b8fd28,NA,NA,NA,Multan Sultans,NA,NA,NA
Aamer Azmat,935678ee,NA,NA,NA,NA,NA,Multan Sultans,NA
Aamer Yamin,907d6e58,Lahore Qalandars,Lahore Qalandars,Karachi Kings,Karachi Kings,Karachi Kings,Karachi Kings,Peshawar Zalmi
AB de Villiers,c4487b84,NA,NA,Lahore Qalandars,NA,NA,NA,NA
Abbas Afridi,2cec2a92,NA,NA,NA,NA,Karachi Kings,Multan Sultans,NA
Abdul Bangalzai,0251a22f,NA,NA,NA,NA,NA,Quetta Gladiators,NA
Abdul Nasir,494a0503,NA,NA,NA,Quetta Gladiators,Quetta Gladiators,NA,NA
Abdullah Shafique,fc2fffb5,NA,NA,NA,NA,NA,Lahore Qalandars,NA
Abdur Rehman,d094e7d1,NA,NA,NA,NA,NA,NA,Peshawar Zalmi
Abrar Ahmed,abb7c76c,Karachi Kings,NA,NA,NA,Peshawar Zalmi,NA,NA
AD Hales,92aeac25,NA,Islamabad United,Islamabad United,Karachi Kings,Islamabad United,Islamabad United,NA
AD Russell,bbd41817,NA,Islamabad United,Multan Sultans,NA,Quetta Gladiators,NA,Islamabad United
Adil Amin,87addb93,NA,NA,NA,Peshawar Zalmi,NA,NA,NA
Adnan Rasool,b8a75ca8,NA,NA,NA,NA,NA,NA,Lahore Qalandars
ADS Fletcher,1bae756b,NA,Peshawar Zalmi,Peshawar Zalmi,NA,NA,NA,NA
Agha Salman,89c16049,NA,Lahore Qalandars,Lahore Qalandars,NA,Lahore Qalandars,NA,NA
Ahmed Daniyal,9656afbf,NA,NA,NA,NA,Lahore Qalandars,NA,NA
Ahmed Safi Abdullah,fb23118c,NA,NA,NA,Islamabad United,NA,NA,NA
Ahmed Shehzad,f8fd6e3f,Quetta Gladiators,Multan Sultans,Quetta Gladiators,Quetta Gladiators,NA,NA,Quetta Gladiators
Ahsan Ali,dc2abe5e,NA,NA,Quetta Gladiators,Quetta Gladiators,NA,Quetta Gladiators,NA
Aizaz Cheema,5441db8c,NA,NA,Lahore Qalandars,NA,NA,NA,Quetta Gladiators
Akbar-ur-Rehman,1a772306,NA,NA,NA,NA,NA,NA,Quetta Gladiators
Akif Javed,99d7d5b7,NA,NA,NA,Islamabad United,Islamabad United,NA,NA
Ali Khan,b0eaaac6,NA,NA,NA,Karachi Kings,Islamabad United,NA,NA
Ali Majid,0e9b0f64,NA,NA,NA,NA,NA,Peshawar Zalmi,NA
Ali Shafiq,7873a628,NA,NA,Multan Sultans,Multan Sultans,NA,NA,NA
Amad Butt,c6a1b1bb,Islamabad United,Islamabad United,Islamabad United,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,NA
Anamul Haque,72b245dd,Quetta Gladiators,NA,NA,NA,NA,NA,NA
Anwar Ali,eb2d5fe7,Quetta Gladiators,Quetta Gladiators,Quetta Gladiators,Quetta Gladiators,Quetta Gladiators,Multan Sultans,Quetta Gladiators
AP Devcich,ed90abe4,NA,Lahore Qalandars,Lahore Qalandars,NA,NA,NA,NA
Arish Ali,1e9b3b23,NA,NA,NA,NA,Quetta Gladiators,Peshawar Zalmi,NA
Arshad Iqbal,ed031922,NA,NA,NA,Karachi Kings,Karachi Kings,Peshawar Zalmi,NA
Asad Shafiq,50250426,Quetta Gladiators,Quetta Gladiators,NA,Multan Sultans,NA,NA,Quetta Gladiators
Ashar Zaidi,9bab2b81,NA,NA,NA,NA,NA,NA,Islamabad United
Ashir Qureshi,ed54033c,NA,NA,NA,NA,NA,Quetta Gladiators,NA
Asif Afridi,9489623e,NA,NA,NA,NA,NA,Multan Sultans,NA
Asif Ali,0a4736eb,Islamabad United,Islamabad United,Islamabad United,Islamabad United,Islamabad United,Islamabad United,Islamabad United
Athar Mahmood,55d3d4e8,NA,NA,NA,NA,NA,Islamabad United,NA
AW Summers,a35c119e,NA,NA,Karachi Kings,NA,NA,NA,NA
Awais Zia,5c88fab9,NA,NA,Karachi Kings,NA,NA,NA,NA
Azam Khan,ee8f1a6d,NA,NA,Quetta Gladiators,Quetta Gladiators,Quetta Gladiators,Islamabad United,NA
Azhar Ali,211de69f,NA,NA,NA,NA,NA,NA,Lahore Qalandars
Azhar Mahmood,9a158001,NA,NA,NA,NA,NA,NA,Islamabad United
B Laughlin,b2a79f17,NA,Quetta Gladiators,NA,NA,NA,NA,NA
B Muzarabani,449f4e3c,NA,NA,NA,NA,Multan Sultans,Multan Sultans,NA
BA King,7fca84b7,NA,NA,NA,NA,Islamabad United,NA,NA
Babar Azam,8a75e999,Karachi Kings,Karachi Kings,Karachi Kings,Karachi Kings,Karachi Kings,Karachi Kings,Islamabad United
BAC Howell,0bec3a6c,NA,NA,NA,NA,NA,Peshawar Zalmi,NA
BAW Mendis,ea0cdc12,NA,NA,NA,NA,NA,NA,Lahore Qalandars
BB McCullum,b8a55852,Lahore Qalandars,Lahore Qalandars,NA,NA,NA,NA,NA
BCJ Cutting,2e11c706,NA,NA,NA,Quetta Gladiators,Quetta Gladiators,Peshawar Zalmi,NA
Bilal Asif,f3be8d36,NA,Lahore Qalandars,NA,NA,NA,NA,NA
Bilawal Bhatti,7662cf7a,Lahore Qalandars,NA,NA,Multan Sultans,NA,NA,Karachi Kings
Bismillah Khan,d3cefce5,NA,NA,NA,NA,NA,NA,Quetta Gladiators
BJ Haddin,b0c772ee,Islamabad United,NA,NA,NA,NA,NA,Islamabad United
BJ Hodge,b57f8a9a,NA,NA,NA,NA,NA,NA,Peshawar Zalmi
BM Duckett,5f26f677,Islamabad United,NA,NA,NA,NA,Quetta Gladiators,NA
BR Dunk,272d796e,NA,NA,Karachi Kings,Lahore Qalandars,Lahore Qalandars,Lahore Qalandars,NA
BRM Taylor,53597be1,NA,NA,Lahore Qalandars,NA,NA,NA,NA
C Munro,af2c687b,NA,NA,Karachi Kings,Islamabad United,Islamabad United,Islamabad United,NA
CA Ingram,c995d726,NA,Karachi Kings,Karachi Kings,Islamabad United,Karachi Kings,NA,NA
CA Lynn,45eda7c8,NA,NA,NA,Lahore Qalandars,Multan Sultans,NA,NA
CAK Walton,bbff906c,NA,Islamabad United,Islamabad United,Karachi Kings,Karachi Kings,NA,NA
CH Gayle,db584dad,Karachi Kings,NA,NA,NA,Quetta Gladiators,NA,Lahore Qalandars
CJ Anderson,8abdf100,NA,NA,Lahore Qalandars,NA,NA,NA,NA
CJ Green,19b9f399,NA,NA,Multan Sultans,NA,NA,NA,NA
CJ Jordan,ffe699c0,Peshawar Zalmi,Peshawar Zalmi,Peshawar Zalmi,Karachi Kings,NA,Karachi Kings,NA
CR Brathwaite,e342e5fb,NA,NA,Lahore Qalandars,Peshawar Zalmi,Multan Sultans,NA,NA
CS Delport,afa78c3a,Lahore Qalandars,Lahore Qalandars,Islamabad United,Karachi Kings,Quetta Gladiators,NA,Lahore Qalandars
D Foxcroft,ed6894af,NA,NA,NA,NA,NA,Lahore Qalandars,NA
D Ramdin,d1523761,NA,Lahore Qalandars,NA,NA,NA,NA,NA
D Wiese,aa8d28ae,NA,Karachi Kings,Lahore Qalandars,Lahore Qalandars,Lahore Qalandars,Lahore Qalandars,NA
DA Miller,d67d5f00,NA,NA,NA,NA,Peshawar Zalmi,NA,NA
Danish Aziz,a4799701,NA,Karachi Kings,Quetta Gladiators,NA,Karachi Kings,Islamabad United,NA
DAS Gunaratne,770494eb,NA,NA,Lahore Qalandars,NA,NA,NA,NA
Dilbar Hussain,a968d8eb,NA,NA,NA,Lahore Qalandars,NA,NA,NA
DJ Bravo,87e562a9,NA,NA,Quetta Gladiators,NA,NA,NA,Lahore Qalandars
DJ Malan,ad9c32a2,Peshawar Zalmi,NA,Peshawar Zalmi,Islamabad United,NA,NA,Peshawar Zalmi
DJ Vilas,087210b1,NA,NA,NA,Lahore Qalandars,NA,NA,NA
