Player1,Player2,Matches
CJ Jordan,Mohammad Sami,0.16666666666666666
Mohammad Sami,CJ Jordan,0.1111111111111111
CJ Jordan,SR Watson,0.16666666666666666
SR Watson,CJ Jordan,0.1111111111111111
DJ Malan,Amad Butt,0.16666666666666666
Amad Butt,DJ Malan,0.25
DJ Malan,Imran Khalid,0.16666666666666666
Imran Khalid,DJ Malan,0.3333333333333333
DJ Malan,Mohammad Irfan,0.16666666666666666
Mohammad Irfan,DJ Malan,0.125
DJ Malan,Mohammad Sami,0.16666666666666666
Mohammad Sami,DJ Malan,0.1111111111111111
DJ Malan,SR Watson,0.16666666666666666
SR Watson,DJ Malan,0.1111111111111111
DJ Malan,Saeed Ajmal,0.16666666666666666
Saeed Ajmal,DJ Malan,0.25
DJG Sammy,Mohammad Irfan,0.18181818181818182
Mohammad Irfan,DJG Sammy,0.375
DJG Sammy,Mohammad Sami,0.18181818181818182
Mohammad Sami,DJG Sammy,0.3333333333333333
EJG Morgan,SR Watson,0.3333333333333333
SR Watson,EJG Morgan,0.3333333333333333
EJG Morgan,Saeed Ajmal,0.16666666666666666
Saeed Ajmal,EJG Morgan,0.25
Haris Sohail,Amad Butt,0.3333333333333333
Amad Butt,Haris Sohail,0.25
Haris Sohail,Mohammad Irfan,0.3333333333333333
Mohammad Irfan,Haris Sohail,0.125
Haris Sohail,Mohammad Sami,0.3333333333333333
Mohammad Sami,Haris Sohail,0.1111111111111111
Haris Sohail,SR Watson,0.3333333333333333
SR Watson,Haris Sohail,0.1111111111111111
Haris Sohail,Saeed Ajmal,0.3333333333333333
Saeed Ajmal,Haris Sohail,0.25
Hasan Ali,SR Watson,0.09090909090909091
SR Watson,Hasan Ali,0.1111111111111111
Iftikhar Ahmed,Mohammad Sami,0.3333333333333333
Mohammad Sami,Iftikhar Ahmed,0.1111111111111111
Kamran Akmal,Amad Butt,0.09090909090909091
Amad Butt,Kamran Akmal,0.25
Kamran Akmal,Imran Khalid,0.09090909090909091
Imran Khalid,Kamran Akmal,0.3333333333333333
Kamran Akmal,Mohammad Irfan,0.18181818181818182
Mohammad Irfan,Kamran Akmal,0.375
Kamran Akmal,Mohammad Sami,0.18181818181818182
Mohammad Sami,Kamran Akmal,0.3333333333333333
Kamran Akmal,SR Watson,0.09090909090909091
SR Watson,Kamran Akmal,0.1111111111111111
Kamran Akmal,Saeed Ajmal,0.09090909090909091
Saeed Ajmal,Kamran Akmal,0.25
Mohammad Hafeez,Mohammad Irfan,0.2
Mohammad Irfan,Mohammad Hafeez,0.375
Shahid Afridi,Mohammad Irfan,0.1
Mohammad Irfan,Shahid Afridi,0.125
Shahid Afridi,SR Watson,0.1
SR Watson,Shahid Afridi,0.1111111111111111
Ahmed Shehzad,Mohammad Irfan (4),0.1
Mohammad Irfan (4),Ahmed Shehzad,0.14285714285714285
Ahmed Shehzad,Sohail Tanvir,0.1
Sohail Tanvir,Ahmed Shehzad,0.125
Anwar Ali,Mohammad Irfan (4),0.1111111111111111
Mohammad Irfan (4),Anwar Ali,0.14285714285714285
Asad Shafiq,Bilawal Bhatti,0.14285714285714285
Bilawal Bhatti,Asad Shafiq,0.2
Asad Shafiq,Mohammad Irfan (4),0.14285714285714285
Mohammad Irfan (4),Asad Shafiq,0.14285714285714285
Asad Shafiq,SP Narine,0.14285714285714285
SP Narine,Asad Shafiq,0.125
Asad Shafiq,Sohail Tanvir,0.14285714285714285
Sohail Tanvir,Asad Shafiq,0.125
Asad Shafiq,Yasir Shah,0.14285714285714285
Yasir Shah,Asad Shafiq,0.125
Hassan Khan,Mohammad Irfan (4),0.1
Mohammad Irfan (4),Hassan Khan,0.14285714285714285
Hassan Khan,Sohail Tanvir,0.1
Sohail Tanvir,Hassan Khan,0.125
Hassan Khan,Yasir Shah,0.1
Yasir Shah,Hassan Khan,0.125
KP Pietersen,Mohammad Irfan (4),0.1111111111111111
Mohammad Irfan (4),KP Pietersen,0.14285714285714285
KP Pietersen,SP Narine,0.1111111111111111
SP Narine,KP Pietersen,0.125
KP Pietersen,Sohail Tanvir,0.1111111111111111
Sohail Tanvir,KP Pietersen,0.125
NLTC Perera,GD Elliott,0.16666666666666666
GD Elliott,NLTC Perera,0.14285714285714285
NLTC Perera,SP Narine,0.16666666666666666
SP Narine,NLTC Perera,0.125
NLTC Perera,Yasir Shah,0.16666666666666666
Yasir Shah,NLTC Perera,0.125
RR Rossouw,Bilawal Bhatti,0.1111111111111111
Bilawal Bhatti,RR Rossouw,0.2
RR Rossouw,GD Elliott,0.1111111111111111
GD Elliott,RR Rossouw,0.14285714285714285
RR Rossouw,Mohammad Irfan (4),0.1111111111111111
Mohammad Irfan (4),RR Rossouw,0.14285714285714285
RR Rossouw,SP Narine,0.1111111111111111
SP Narine,RR Rossouw,0.125
RR Rossouw,Sohail Tanvir,0.1111111111111111
Sohail Tanvir,RR Rossouw,0.125
RR Rossouw,Yasir Shah,0.1111111111111111
Yasir Shah,RR Rossouw,0.125
Sarfraz Ahmed,SP Narine,0.1
SP Narine,Sarfraz Ahmed,0.125
TS Mills,Mohammad Irfan (4),0.2
Mohammad Irfan (4),TS Mills,0.14285714285714285
Babar Azam,Hasan Ali,0.2
Hasan Ali,Babar Azam,0.2727272727272727
Babar Azam,Mohammad Hafeez,0.1
Mohammad Hafeez,Babar Azam,0.1
CH Gayle,Mohammad Hafeez,0.1111111111111111
Mohammad Hafeez,CH Gayle,0.1
Imad Wasim,Wahab Riaz,0.1
Wahab Riaz,Imad Wasim,0.1
KA Pollard,CJ Jordan,0.1
CJ Jordan,KA Pollard,0.16666666666666666
KA Pollard,Hasan Ali,0.2
Hasan Ali,KA Pollard,0.2727272727272727
KA Pollard,Mohammad Asghar,0.1
Mohammad Asghar,KA Pollard,0.14285714285714285
KA Pollard,Wahab Riaz,0.2
Wahab Riaz,KA Pollard,0.3
KC Sangakkara,CJ Jordan,0.1
CJ Jordan,KC Sangakkara,0.16666666666666666
KC Sangakkara,Hasan Ali,0.2
Hasan Ali,KC Sangakkara,0.2727272727272727
KC Sangakkara,Mohammad Hafeez,0.1
Mohammad Hafeez,KC Sangakkara,0.1
Mohammad Amir,CJ Jordan,0.1
CJ Jordan,Mohammad Amir,0.16666666666666666
Mohammad Amir,Wahab Riaz,0.1
Wahab Riaz,Mohammad Amir,0.1
RS Bopara,CJ Jordan,0.1
CJ Jordan,RS Bopara,0.16666666666666666
RS Bopara,Hasan Ali,0.1
Hasan Ali,RS Bopara,0.09090909090909091
RS Bopara,Mohammad Asghar,0.1
Mohammad Asghar,RS Bopara,0.14285714285714285
RS Bopara,Mohammad Hafeez,0.1
Mohammad Hafeez,RS Bopara,0.1
RS Bopara,Shahid Afridi,0.2
Shahid Afridi,RS Bopara,0.3
RS Bopara,Wahab Riaz,0.2
Wahab Riaz,RS Bopara,0.3
Shahzaib Hasan,Mohammad Hafeez,0.5
Mohammad Hafeez,Shahzaib Hasan,0.1
Shoaib Malik,CJ Jordan,0.1
CJ Jordan,Shoaib Malik,0.16666666666666666
Shoaib Malik,Hasan Ali,0.2
Hasan Ali,Shoaib Malik,0.2727272727272727
Shoaib Malik,Mohammad Asghar,0.1
Mohammad Asghar,Shoaib Malik,0.14285714285714285
Shoaib Malik,Shahid Afridi,0.2
Shahid Afridi,Shoaib Malik,0.3
